Codice articolo (ATS),Material SAP Code (BP),Definire Conti Co.Ge. per,Gruppo articoli,Descrizione articolo,part number,Model Id,SUBCLASS,Technology,Produttore,Gestire n. lotto [Si/No],Gestione numeri di serie,verifica su sap
WMS0002379-NTD,000000000301595021,Gruppo articoli,WMS-VodafoneNTD,ACOMD2H08,27030114,ACOMD2H08,Unit,RADIO,HUAWEI,No,No,OK
WMS0002380-NTD,000000000301595022,Gruppo articoli,WMS-VodafoneNTD,ACOMD2H16,27030150,ACOMD2H16,Unit,RADIO,HUAWEI,Si,No,OK
WMS0002381-NTD,000000000301595121,Gruppo articoli,WMS-VodafoneNTD,FO XFP XCVR 10G ZR SMF 80KM,81.86T-X010GZRS-R6,81.86T-X010GZRS-R6,Modulo SFP-XPF,TX,INFINERA,No,No,OK
WMS0002382-NTD,000000000301595125,Gruppo articoli,WMS-VodafoneNTD,8 port STM-1 POS IFM,81.86MS1P082020,8XSTM1-POS-SFP IFM,Modulo SFP-XPF,TX,INFINERA,No,Si,OK
WMS0002383-NTD,000000000301595140,Gruppo articoli,WMS-VodafoneNTD,8609/8611 DC Power Module Blank Cover,81.86B-0911DCBL-R6,,Accessori,TX,INFINERA,Si,No,OK
WMS0002384-NTD,000000000301595151,Gruppo articoli,WMS-VodafoneNTD,FO XFP XCVR 10G LR SMF 10KM,81.86T-X010GLRS-R6,FO XFP XCVR 10G LR SMF 10KM,Modulo SFP-XPF,TX,INFINERA,No,Si,OK
WMS0002385-NTD,000000000301595155,Gruppo articoli,WMS-VodafoneNTD,T8609-1 8PE1 4XLX10,82.86S-8609,8609 R2 CHASSIS,Unit,TX,INFINERA,No,Si,OK
WMS0002386-NTD,000000000301595156,Gruppo articoli,WMS-VodafoneNTD,FO SFP XCVR 1G CWDM 1470NM 80KM (20-471),81.86Z001GS4780-R5,SFP XCVR 1G CWDM 1470NM 80KM,Modulo SFP-XPF,TX,INFINERA,No,No,OK
WMS0002387-NTD,000000000301595174,Gruppo articoli,WMS-VodafoneNTD,IFC2-B,81.86L-IFC2B,IFC2-B,Unit,TX,INFINERA,No,Si,OK
WMS0002388-NTD,000000000301595183,Gruppo articoli,WMS-VodafoneNTD,FO SFP XCVR 1G CWDM 1610NM 80KM (20-611),81.86Z001GS6180-R5,SFP XCVR 1G CWDM 1610NM 80KM,Modulo SFP-XPF,TX,INFINERA,No,No,OK
WMS0002389-NTD,000000000301595186,Gruppo articoli,WMS-VodafoneNTD,Coriant 8630 Fan Module,81.86F8630FANMD-R6,FAN 8630,Unit,TX,INFINERA,No,No,OK
WMS0002390-NTD,000000000301595190,Gruppo articoli,WMS-VodafoneNTD,8660 R2 Fan Module,82.86F-8660,8660 R2 FAN MODULE,Unit,TX,INFINERA,No,No,OK
WMS0002391-NTD,000000000301595202,Gruppo articoli,WMS-VodafoneNTD,FO SFP+ XCVR 10G LR SMF 10KM,81.86T-P010GLRS-R6,FO SFP+ XCVR 10G LR SMF 10KM,Modulo SFP-XPF,TX,INFINERA,No,No,OK
WMS0002392-NTD,000000000301595220,Gruppo articoli,WMS-VodafoneNTD,FO SFP XCVR 1G LX10 SMF 10KM (TR-0012),81.86Z001GSLX10-R5,SFP 1000BASE-LX10 TCVR SMF10KM,Modulo SFP-XPF,TX,INFINERA,No,No,OK
WMS0002393-NTD,000000000301595227,Gruppo articoli,WMS-VodafoneNTD,ELC1 12+2-PORT 1/10GE SFP/XFP,81.86L-1GE14SX,ELC1 12+2-PORT 1/10GE SFP/XFP,Modulo SFP-XPF,TX,INFINERA,No,Si,OK
WMS0002394-NTD,000000000301595229,Gruppo articoli,WMS-VodafoneNTD,"8602D Element (AC Power, 1588 NO VDSL)",81.86S-8602D-AC-R6,81.86S-8602D-AC-R6,Unit,TX,INFINERA,No,Si,OK
WMS0002395-NTD,000000000301595236,Gruppo articoli,WMS-VodafoneNTD,SFP XCVR 100/1000BASE-TX ELE 100M E-TEMP,81.86T-SM3TX01Q-R6,SFP XCVR 100/1000BASE-TX ELE 100,Modulo SFP-XPF,TX,INFINERA,No,No,OK
WMS0002396-NTD,000000000301595241,Gruppo articoli,WMS-VodafoneNTD,FO SFP XCVR 1G CWDM 1510NM 80KM (20-511),81.86Z001GS5180-R5,SFP XCVR 1G CWDM 1510NM 80KM,Modulo SFP-XPF,TX,INFINERA,No,No,OK
WMS0002397-NTD,000000000301595242,Gruppo articoli,WMS-VodafoneNTD,CBL PWR DC OE MINI-FIT 2 8 3M CDC2,PS402838117539A,CBL PWR DC OE MINI-FIT 2 8 3M CDC2,Accessori,TX,INFINERA,Si,No,OK
WMS0002398-NTD,000000000301595243,Gruppo articoli,WMS-VodafoneNTD,8660 R2 AIR FILTER SPARE (5 PCS),82.86A-8660-R6,82.86A-8660-R6,Unit,TX,INFINERA,No,No,OK
WMS0002399-NTD,000000000301595262,Gruppo articoli,WMS-VodafoneNTD,Coriant 8660 R2 SUBRACK WITH FANS,82.86S-8660-R6,8660 R2 FAN MODULE,Unit,TX,INFINERA,No,Si,OK
WMS0002400-NTD,000000000301595279,Gruppo articoli,WMS-VodafoneNTD,IFM 8-PORT GE 100/1000BASE-X R2,81.86M-IFMGEX08,81.86M-IFMGEX08-R6,Modulo SFP-XPF,TX,INFINERA,No,Si,OK
WMS0002401-NTD,000000000301595282,Gruppo articoli,WMS-VodafoneNTD,8609/8611 DC Power Module,81.86P-0911DC48,8609/8611 DC48 POWER MODULE,Unit,TX,INFINERA,No,No,OK
WMS0002402-NTD,000000000301595292,Gruppo articoli,WMS-VodafoneNTD,8615 Redundancy Package + CABLE 0.5M,81.86W-STACKA-R6,8600 STACKING CABLE,Accessori,TX,INFINERA,Si,No,OK
