Codice articolo (ATS),Material SAP Code (BP),Definire Conti Co.Ge. per,Gruppo articoli,Descrizione articolo,part number,Model Id,SUBCLASS,Technology,Produttore,Gestire n. lotto [Si/No],Gestione numeri di serie,verifica su sap
WMS0005535-FLM,000000000301770439,Gruppo articoli,WMS-VodafoneFLM,02313HGM_FTTH19_20_GENERAL,02313HGM,02313HGM,Unit,DSL,HUAWEI,No,Sì,OK
WMS0005536-FLM,000000000301774689,Gruppo articoli,WMS-VodafoneFLM,3FE69486AB_2YW,3FE69486AB,FELT-B,Unit,DSL,NSN,No,Sì,OK
WMS0005537-FLM,000000000301775099,Gruppo articoli,WMS-VodafoneFLM,ANRMHOST0102_field_ACC_FMCIP1,02312QQD,ANRMHOST0102,Unit,CORE,HUAWEI,No,Sì,OK
WMS0005538-FLM,000000000301775108,Gruppo articoli,WMS-VodafoneFLM,ATN910C-G_1G_Kit_ACC_FMCIP1,02352YTQ,,Kit Bundle,TX,HUAWEI,No,Sì,OK
WMS0005539-FLM,000000000301775109,Gruppo articoli,WMS-VodafoneFLM,ATN910C-G_1G_Kit_pay1get2_ACC_FMCIP1,02352YTQ,,Kit Bundle,RADIO,HUAWEI,No,Sì,OK
WMS0005540-FLM,000000000301775110,Gruppo articoli,WMS-VodafoneFLM,ANRD000FAN00_ACC_FMCIP1,03033GNV,ANRD000FAN00,Unit,TX,HUAWEI,No,Sì,OK
WMS0005541-FLM,000000000301775120,Gruppo articoli,WMS-VodafoneFLM,ANRMHOST0102_pay1get2_field_ACC_FMCIP1,02312QQD,ANRMHOST0102,Unit,CORE,HUAWEI,No,Sì,OK
WMS0005542-FLM,000000000301775136,Gruppo articoli,WMS-VodafoneFLM,TNRDIPU1T2C1_AGG_FMCIP1,03033GJW,TNRDIPU1T2C1,Unit,TX,HUAWEI,No,Sì,OK
WMS0005543-FLM,000000000301775137,Gruppo articoli,WMS-VodafoneFLM,ANPM000GPS03_DR_ACC_FMCIP1,03034CGQ,ANPM000GPS03,Unit,TX,HUAWEI,No,Sì,OK
WMS0005544-FLM,000000000301775138,Gruppo articoli,WMS-VodafoneFLM,ANPM000GPS03_pay1get2_field_ACC_FMCIP1,03034CGQ,ANPM000GPS03,Unit,TX,HUAWEI,No,Sì,OK
WMS0005545-FLM,000000000301775139,Gruppo articoli,WMS-VodafoneFLM,ANPM000GPS03_field_ACC_FMCIP1,03034CGQ,ANPM000GPS03,Unit,TX,HUAWEI,No,Sì,OK
WMS0005546-FLM,000000000301775141,Gruppo articoli,WMS-VodafoneFLM,ANPM000GPS03_pay1get2_ACC_FMCIP1,03034CGQ,ANPM000GPS03,Unit,TX,HUAWEI,No,Sì,OK
WMS0005547-FLM,000000000301775142,Gruppo articoli,WMS-VodafoneFLM,ANPM000GPS03_ACC_FMCIP1,03034CGQ,ANPM000GPS03,Unit,TX,HUAWEI,No,Sì,OK
WMS0005548-FLM,000000000301775144,Gruppo articoli,WMS-VodafoneFLM,CR5DLPUFM373_pay1get6_fieldPOC1_FMCIP1,03050DFD,CR5DLPUFM373,Unit,TX,HUAWEI,No,Sì,OK
WMS0005549-FLM,000000000301775146,Gruppo articoli,WMS-VodafoneFLM,CR57E4VBC2_field_POC1_FMCIP1,03034CQX,CR57E4VBC2,Unit,TX,HUAWEI,No,Sì,OK
WMS0005550-FLM,000000000301775149,Gruppo articoli,WMS-VodafoneFLM,CR57LFXFJ1_pay1get6_fieldPOC1_FMCIP1,03034CQW,CR57LFXFJ1,Unit,TX,HUAWEI,No,Sì,OK
WMS0005551-FLM,000000000301775159,Gruppo articoli,WMS-VodafoneFLM,ANRD00CXPA00_ACC_FMCIP1,03033GLY,ANRD00CXPA00,Unit,CORE,HUAWEI,No,Sì,OK
WMS0005552-FLM,000000000301775181,Gruppo articoli,WMS-VodafoneFLM,ANRB00CASE01_ACC_FMCIP1,02312RSM,ANRB00CASE01,Unit,TX,HUAWEI,No,Sì,OK
WMS0005553-FLM,000000000301775182,Gruppo articoli,WMS-VodafoneFLM,ANGMHSTG0201_pay1get2_field_ACC_FMCIP1,02353CFS,ANGMHSTG0201,Unit,TX,HUAWEI,No,Sì,OK
WMS0005554-FLM,000000000301775186,Gruppo articoli,WMS-VodafoneFLM,CR57E4VBC2_pay1get6_fieldPOC1_FMCIP1,03034CQX,CR57E4VBC2,Unit,TX,HUAWEI,No,Sì,OK
WMS0005555-FLM,000000000301775233,Gruppo articoli,WMS-VodafoneFLM,A000GPSAUX00_pay1get2_field_ACC_FMCIP1,02238924,A000GPSAUX00,Accessori,CORE,HUAWEI,No,Sì,OK
WMS0005556-FLM,000000000301775234,Gruppo articoli,WMS-VodafoneFLM,FEEDERCLB01_field_ACC_FMCIP1,27150059,FEEDERCLB01,Accessori,RADIO,HUAWEI,No,Sì,OK
WMS0005557-FLM,000000000301775237,Gruppo articoli,WMS-VodafoneFLM,GM-PLGT-CLP-1/2_DR_ACC_FMCIP1,27150022,GM-PLGT-CLP-1/2,Accessori,RADIO,HUAWEI,No,Sì,OK
WMS0005558-FLM,000000000301775246,Gruppo articoli,WMS-VodafoneFLM,A000GPSAUX00_DR_ACC_FMCIP4,02238924,A000GPSAUX00,Accessori,CORE,HUAWEI,No,Sì,OK
WMS0005559-FLM,000000000301775259,Gruppo articoli,WMS-VodafoneFLM,TMBK04AFB,02301676,TMBK04AFB,Unit,,HUAWEI,No,Sì,OK
WMS0005560-FLM,000000000301775279,Gruppo articoli,WMS-VodafoneFLM,Kit_GPS_ATN_field_ACC_FMCIP1,,,Kit Bundle,MW,HUAWEI,No,Sì,OK
WMS0005561-FLM,000000000301775311,Gruppo articoli,WMS-VodafoneFLM,Kit_GPS_ATN_pay1get2_field_ACC_FMCIP1,,,Kit Bundle,RADIO,HUAWEI,No,Sì,OK
WMS0005562-FLM,000000000301775397,Gruppo articoli,WMS-VodafoneFLM,QSFP28-100G-1295-1310-10k_FMCWDM1,34061478,QSFP28-100G-1295nm~1310nm-10km-SM-01,Modulo SFP-XPF,TX,HUAWEI,No,Sì,OK
WMS0005563-FLM,000000000301775418,Gruppo articoli,WMS-VodafoneFLM,TN52WSMD901_FMCWDM1,03032VAA,TN52WSMD901,Unit,TX,HUAWEI,No,Sì,OK
WMS0005564-FLM,000000000301775420,Gruppo articoli,WMS-VodafoneFLM,800482028 20-Port Antennas 2m,800482028,800482028,Antenna,RADIO,KATHREIN,No,Sì,OK
WMS0005565-FLM,000000000301775518,Gruppo articoli,WMS-VodafoneFLM,ASI4517R12v07,ASI4517R12v07,ASI4517R12v07,Antenna,RADIO,HUAWEI,No,Sì,OK
WMS0005566-FLM,000000000301775520,Gruppo articoli,WMS-VodafoneFLM,A094518R09v06,A094518R09v06,A094518R09v06,Antenna,RADIO,HUAWEI,No,Sì,OK
WMS0005567-FLM,000000000301775749,Gruppo articoli,WMS-VodafoneFLM,1850WDM_7_z61,1AB377200009,SFP CWDM LH 1471 NM -40/+85,Modulo SFP-XPF,TX,NSN,No,Sì,OK
WMS0005568-FLM,000000000301775995,Gruppo articoli,WMS-VodafoneFLM,"SRX5800 HIGH CAPACITY DC PS, STD",740-038513,SRX5800-PWR-4100-DC-S,Unit,CORE,JUNIPER,No,Sì,OK
WMS0005569-FLM,000000000301776236,Gruppo articoli,WMS-VodafoneFLM,AHEGF AirScale Dual RRH 4T4R B1/3 400W,475825A.101,AHEGF,Unit,RADIO,NSN,No,Sì,OK
WMS0005570-FLM,000000000301776253,Gruppo articoli,WMS-VodafoneFLM,DCDU16D-02,02122720,WD2E5DCDU16D,Unit,PASSIVE,HUAWEI,No,Sì,OK
WMS0005571-FLM,000000000301776604,Gruppo articoli,WMS-VodafoneFLM,RFU Power Cable (04150265),04150265,04150265,Accessori,RADIO,HUAWEI,No,Sì,OK
WMS0005572-FLM,000000000301776631,Gruppo articoli,WMS-VodafoneFLM,AEQQ_I AirScale IPAA 32T32R n78 200W,475753A.101,AEQQ_I,Unit,RADIO,NSN,No,Sì,OK
WMS0005573-FLM,000000000301776632,Gruppo articoli,WMS-VodafoneFLM,AEQQ_I 3-sectors ASIB ABIO - no SFP,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005574-FLM,000000000301777071,Gruppo articoli,WMS-VodafoneFLM,Shield_FPFH Flexi Power Distribution Mod,CS7136001,FPFH,Unit,RADIO,NSN,No,Sì,OK
WMS0005575-FLM,000000000301777677,Gruppo articoli,WMS-VodafoneFLM,1850WDM_7_z81,1850WDM_7_z81,SFP+ STM-64/OC192 CWDM LH 1471NM -40/85,Modulo SFP-XPF,TX,NSN,No,Sì,OK
WMS0005576-FLM,000000000301777693,Gruppo articoli,WMS-VodafoneFLM,1850WDM_7_z65,1AB377200013,SFP CWDM LH 1551 NM -40/+85,Modulo SFP-XPF,TX,NSN,No,Sì,OK
WMS0005577-FLM,000000000301777699,Gruppo articoli,WMS-VodafoneFLM,1850WDM_6_Y8,3AL82019AA,SFP+ P1L1-2D2/LR-2/10GBASE-ZR(W) -5/+85,Modulo SFP-XPF,TX,NSN,No,Sì,OK
WMS0005578-FLM,000000000301777704,Gruppo articoli,WMS-VodafoneFLM,1850WDM_7_z75,3AL82018AE,SFP+ STM-64/OC192 CWDM SH 1551,Modulo SFP-XPF,TX,NSN,No,Sì,OK
WMS0005579-FLM,000000000301777940,Gruppo articoli,WMS-VodafoneFLM,ML 6651/4,BFZ60136/4,,Unit,MW,ERICSSON,No,Sì,OK
WMS0005580-FLM,000000000301777966,Gruppo articoli,WMS-VodafoneFLM,ANT3 C 0.6 7/8 HPX,BFZ62272/3D02H,ANT3 C 0.6 7/8 HPX,Antenna,MW,ERICSSON,No,Sì,OK
WMS0005581-FLM,000000000301777995,Gruppo articoli,WMS-VodafoneFLM,AAU5833f 3700MHz CI for trial_Temp Price,02313JJP,AAU5833F,Antenna,RADIO,HUAWEI,No,Sì,OK
WMS0005582-FLM,000000000301778105,Gruppo articoli,WMS-VodafoneFLM,"XMC-3E 38G,A, Low",52414964,"XMC-3E 38G,A, Low",Unit,MW,HUAWEI,No,Sì,OK
WMS0005583-FLM,000000000301781419,Gruppo articoli,WMS-VodafoneFLM,OUTDOOR ENELT MMC M4 EC,SHTH.8828,SHTH.8828,Unit,PASSIVE,ELTEK,No,Sì,OK
WMS0005584-FLM,000000000301781505,Gruppo articoli,WMS-VodafoneFLM,LEAP_AGS20M DC IDU EBAND,GAI0245-3,GAI0245-3,Unit,MW,SIAE,No,Sì,OK
WMS0005585-FLM,000000000301783350,Gruppo articoli,WMS-VodafoneFLM,2SLA540L,817736,2SLA540L,Batterie,PASSIVE,FIAMM,No,Sì,OK
WMS0005586-FLM,000000000301783639,Gruppo articoli,WMS-VodafoneFLM,IBT Control Module,02313DWV,SLE1CTA01,Unit,MW,HUAWEI,No,Sì,OK
WMS0005587-FLM,000000000301783640,Gruppo articoli,WMS-VodafoneFLM,A80S06TAC-3NX,52432889,52432889,Unit,,HUAWEI,No,Sì,OK
WMS0005588-FLM,000000000301783656,Gruppo articoli,WMS-VodafoneFLM,USB3.0 Cable,04052869,04052869,Accessori,,HUAWEI,No,Sì,OK
WMS0005589-FLM,000000000301783832,Gruppo articoli,WMS-VodafoneFLM,RRZZ2VV-6533B-R8,RRZZ2VV-6533B-R8,RRZZ2VV-6533B-R8,Antenna,RADIO,COMMSCOPE,No,Sì,OK
WMS0005590-FLM,000000000301783871,Gruppo articoli,WMS-VodafoneFLM,VFIT_MTS9514A_3XR4850G5_PACKAGE,3XR4850G5,MTS9514A,Rack,PASSIVE,HUAWEI,No,Sì,OK
WMS0005591-FLM,000000000301784506,Gruppo articoli,WMS-VodafoneFLM,Shield_FCIA FLEXI CABINET,470152A.101,FCIA,Unit,RADIO,NSN,No,Sì,OK
WMS0005592-FLM,000000000301784507,Gruppo articoli,WMS-VodafoneFLM,Shield_FRMF FLEXI RFM 6-PIPE 800 360 W,472930A.101,FRMF,Unit,RADIO,NSN,No,Sì,OK
WMS0005593-FLM,000000000301785453,Gruppo articoli,WMS-VodafoneFLM,Shield_FRMC -FLEXI RF MODULE 6TX 800 MHZ,472655A.101,FRMC,Unit,RADIO,NSN,No,Sì,OK
WMS0005594-FLM,000000000301785481,Gruppo articoli,WMS-VodafoneFLM,Shield_Optical Transceiver,34061494,TSFP+-10G-DWDM-C Band-40km-SM-01,Modulo SFP-XPF,TX,SHIELDS,No,Sì,OK
WMS0005595-FLM,000000000301786490,Gruppo articoli,WMS-VodafoneFLM,Shield_FLDK TMA TWIN 800/900 AISG,474128A.101,FLDK,Unit,RADIO,NSN,No,Sì,OK
WMS0005596-FLM,000000000301787275,Gruppo articoli,WMS-VodafoneFLM,ORION ID:F1,TPS1020029A-PML-M,ORION ID:F1,Unit,PASSIVE,DELTA,No,Sì,OK
WMS0005597-FLM,000000000301787377,Gruppo articoli,WMS-VodafoneFLM,BNG_ME0DBSUFM075,03050FUE,ME0DBSUFM075,Unit,CORE,HUAWEI,No,Sì,OK
WMS0005598-FLM,000000000301787394,Gruppo articoli,WMS-VodafoneFLM,BNG_ME0D0LBXXB7J,03034LWY,ME0D0LBXXB7J,Unit,CORE,HUAWEI,No,Sì,OK
WMS0005599-FLM,000000000301787417,Gruppo articoli,WMS-VodafoneFLM,"Shield_MDDK, TMA TWIN 1800 AISG 4.1805",474319A.101,MDDK,Unit,RADIO,NSN,No,Sì,OK
WMS0005600-FLM,000000000301787477,Gruppo articoli,WMS-VodafoneFLM,RRVV2VV-6533D-R8,RRVV2VV-6533D-R8,RRVV2VV-6533D-R8,Antenna,RADIO,COMMSCOPE,No,Sì,OK
WMS0005601-FLM,000000000301788203,Gruppo articoli,WMS-VodafoneFLM,Shield_ABIA AIRSCALE CAPACITY EXT.SUB-Mo,473096A.103,ABIA,Unit,RADIO,NSN,No,Sì,OK
WMS0005602-FLM,000000000301788225,Gruppo articoli,WMS-VodafoneFLM,Shield_FRHC FLEXI RF MODULE 6TX 2600,472656A.101,FRHC,Unit,RADIO,NSN,No,Sì,OK
WMS0005603-FLM,000000000301788228,Gruppo articoli,WMS-VodafoneFLM,ODU(XMC-3E) 18G A L,52415128,ODU(XMC-3E) 18G A L,Unit,MW,HUAWEI,No,Sì,OK
WMS0005604-FLM,000000000301788229,Gruppo articoli,WMS-VodafoneFLM,ODU(XMC-3E) 18G B L,52415130,ODU(XMC-3E) 18G B L,Unit,MW,HUAWEI,No,Sì,OK
WMS0005605-FLM,000000000301788620,Gruppo articoli,WMS-VodafoneFLM,ODU(XMC-3E) 18G A H,52415129,ODU(XMC-3E) 18G A H,Unit,MW,HUAWEI,No,Sì,OK
WMS0005606-FLM,000000000301788649,Gruppo articoli,WMS-VodafoneFLM,ODU(XMC-3E) 18G B H,52415131,ODU(XMC-3E) 18G B H,Unit,MW,HUAWEI,No,Sì,OK
WMS0005607-FLM,000000000301788650,Gruppo articoli,WMS-VodafoneFLM,ODU(XMC-3E) 32G B L,52415156,ODU(XMC-3E) 32G B L,Unit,MW,HUAWEI,No,Sì,OK
WMS0005608-FLM,000000000301788662,Gruppo articoli,WMS-VodafoneFLM,"XMC-3E 32G,B, High",52415157,"XMC-3E 32G,B, High",Unit,MW,HUAWEI,No,Sì,OK
WMS0005609-FLM,000000000301789155,Gruppo articoli,WMS-VodafoneFLM,pRRU HybridCable install Package2x25GSFP,02233ELH,02233ELH,Accessori,RADIO,HUAWEI,No,Sì,OK
WMS0005610-FLM,000000000301789187,Gruppo articoli,WMS-VodafoneFLM,3FE47581BB_2YW,3FE47581BB,XGS-PON/GPON MPM C+ (32 dBm). C-temp,Modulo SFP-XPF,TX,NSN,No,Sì,OK
WMS0005611-FLM,000000000301790001,Gruppo articoli,WMS-VodafoneFLM,AHEGC AS Dual RRH 4T4R B1/3 400W (fan),474914A.101,AHEGC,Unit,RADIO,NSN,No,Sì,OK
WMS0005612-FLM,000000000301790012,Gruppo articoli,WMS-VodafoneFLM,AHPMDD AS RRH 2T4R B8/20/28 320W (fan),475707A.102,AHPMDD,Unit,RADIO,NSN,No,Sì,OK
WMS0005613-FLM,000000000301790014,Gruppo articoli,WMS-VodafoneFLM,AEQQ_I 3-sectors ASIB ABIO - no SFP-FSAP,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005614-FLM,000000000301790789,Gruppo articoli,WMS-VodafoneFLM,ASIL AirScale Common,474767A.101,ASIL,Unit,RADIO,NSN,No,Sì,OK
WMS0005615-FLM,000000000301790797,Gruppo articoli,WMS-VodafoneFLM,475128A,475128A.101,475128A,Accessori,RADIO,NSN,No,Sì,OK
WMS0005616-FLM,000000000301791401,Gruppo articoli,WMS-VodafoneFLM,AWGUD 5G AirScale 24G n258 24G DC,475947A.101,AWGUD,Unit,RADIO,NSN,No,Sì,OK
WMS0005617-FLM,000000000301791403,Gruppo articoli,WMS-VodafoneFLM,TSFP+-10G-DWDM-C Band-40km-SM-01,34061494-001,34061494-001,Modulo SFP-XPF,,HUAWEI,No,Sì,OK
WMS0005618-FLM,000000000301795001,Gruppo articoli,WMS-VodafoneFLM,BTS3900A,02113730,WD2B226RFU11,Rack,RADIO,HUAWEI,No,Sì,OK
WMS0005619-FLM,000000000301797012,Gruppo articoli,WMS-VodafoneFLM,1850WDM_BRK80A,1AB017500077,1AB017500077,Unit,TX,NSN,No,Sì,OK
WMS0005620-FLM,000000000301797036,Gruppo articoli,WMS-VodafoneFLM,A99-32HG-FC=,A99-32HG-FC=,A99-32HG-FC=,Unit,CORE,CISCO,No,Sì,OK
WMS0005621-FLM,000000000301797060,Gruppo articoli,WMS-VodafoneFLM,QSFP-100G-CWDM4-S=,QSFP-100G-CWDM4-S=,QSFP-100G-CWDM4-S=,Modulo SFP-XPF,CORE,CISCO,No,Sì,OK
WMS0005622-FLM,000000000301797405,Gruppo articoli,WMS-VodafoneFLM,11GHz ASNKD ODU SB=2L G/R 490.,GF3608-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005623-FLM,000000000301797406,Gruppo articoli,WMS-VodafoneFLM,11GHz ASNKD ODU SB=3L G/R 490.,GF3610-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005624-FLM,000000000301797412,Gruppo articoli,WMS-VodafoneFLM,SFP 1310NM 1-2.5-10GB(FIB MONO MOD.).,1-2.5-10G-SFP-SM-Multi,,Modulo SFP-XPF,MW,SIAE,No,Sì,OK
WMS0005625-FLM,000000000301797421,Gruppo articoli,WMS-VodafoneFLM,18GHz ASNKD ODU SB=1H G/R 1010.,GF8700-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005626-FLM,000000000301797424,Gruppo articoli,WMS-VodafoneFLM,11GHz ASNKD ODU SB=1H G/R 490.,GF3607-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005627-FLM,000000000301797425,Gruppo articoli,WMS-VodafoneFLM,11GHz ASNKD ODU SB=2H G/R 490.,GF3609-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005628-FLM,000000000301797431,Gruppo articoli,WMS-VodafoneFLM,18GHz ASNKD ODU SB=2H G/R 1010.,GF8703-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005629-FLM,000000000301797440,Gruppo articoli,WMS-VodafoneFLM,11GHz ASNKD ODU SB=1L G/R 490.,GF3606-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005630-FLM,000000000301797441,Gruppo articoli,WMS-VodafoneFLM,18GHz ASNKD ODU SB=2L G/R 1010.,GF8702-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005631-FLM,000000000301797453,Gruppo articoli,WMS-VodafoneFLM,11GHz ASNK ODU HP SB=1L G/R 490 80MHz.,GE3606-44,,Unit,MW,SIAE,No,Sì,OK
WMS0005632-FLM,000000000301797455,Gruppo articoli,WMS-VodafoneFLM,18GHz ASNKD ODU SB=1L G/R 1010.,GF8700-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005633-FLM,000000000301797459,Gruppo articoli,WMS-VodafoneFLM,11GHz ASNK ODU HP SB=1H G/R 490 80MHz.,GE3607-44,,Unit,MW,SIAE,No,Sì,OK
WMS0005634-FLM,000000000301797460,Gruppo articoli,WMS-VodafoneFLM,11GHz ASNKD ODU SB=3H G/R 490.,GF3611-10,GF3611-10,Unit,MW,SIAE,No,Sì,OK
WMS0005635-FLM,000000000301797462,Gruppo articoli,WMS-VodafoneFLM,18GHz ASNKD ODU SB=3H G/R 1010.,GF8705-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005636-FLM,000000000301797463,Gruppo articoli,WMS-VodafoneFLM,18GHz ASNKD ODU SB=3L G/R 1010.,GF8704-10,,Unit,MW,SIAE,No,Sì,OK
WMS0005637-FLM,000000000301799902,Gruppo articoli,WMS-VodafoneFLM,DC Power Distribution,02230TVL,02230TVL,Unit,PASSIVE,HUAWEI,No,Sì,OK
WMS0005638-FLM,000000000301803125,Gruppo articoli,WMS-VodafoneFLM,AMFG FCOA installation kit for AMOB,474417A.101,AMFG,Accessori,RADIO,NSN,No,Sì,OK
WMS0005639-FLM,000000000301804700,Gruppo articoli,WMS-VodafoneFLM,APPG AirScale2 70A DC plug 10-16 mm2,475401A.101,APPG,Unit,RADIO,NSN,No,Sì,OK
WMS0005640-FLM,000000000301805243,Gruppo articoli,WMS-VodafoneFLM,RRU3240,02310CYV,WD5MLRUC870,Unit,RADIO,HUAWEI,No,Sì,OK
WMS0005641-FLM,000000000301805249,Gruppo articoli,WMS-VodafoneFLM,48NPFC100 (3U),48NPFC100,48NPFC100 (3U),Batterie,PASSIVE,NARADA,No,Sì,OK
WMS0005642-FLM,000000000301805269,Gruppo articoli,WMS-VodafoneFLM,AHGB 1S radio config 2T2R 1W AOME 4adpt,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005643-FLM,000000000301805273,Gruppo articoli,WMS-VodafoneFLM,AMB4519R18v06,27013558-001,AMB4519R18v06,Antenna,RADIO,HUAWEI,No,Sì,OK
WMS0005644-FLM,000000000301805314,Gruppo articoli,WMS-VodafoneFLM,SPR_FLTK MHA 2100/2600 with Combiner,474321A.101,FLTK,Unit,RADIO,NSN,No,Sì,OK
WMS0005645-FLM,000000000301805329,Gruppo articoli,WMS-VodafoneFLM,SPRG_Pack noATOA-FPIA_ATDR_200m-12xAOSC,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005646-FLM,000000000301805333,Gruppo articoli,WMS-VodafoneFLM,SPRG_Pack noATOA-FPIA_ATDP_60m-12xAOSC,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005647-FLM,000000000301805340,Gruppo articoli,WMS-VodafoneFLM,SPARE-FTIF Transport PDH / Ethernet,472311A.104,FTIF,Unit,RADIO,NSN,No,Sì,OK
WMS0005648-FLM,000000000301805342,Gruppo articoli,WMS-VodafoneFLM,SPRG_Pack noATOA-FPIA_ATDN_20m-12xAOSC,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005649-FLM,000000000301805354,Gruppo articoli,WMS-VodafoneFLM,SPRG_AMOD+ASIB+ABIA+HWA_Stack_AMFY,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005650-FLM,000000000301805363,Gruppo articoli,WMS-VodafoneFLM,SPR_FLSK MHA 1800/2600 with Combiner,474322A.101,FLSK,Unit,RADIO,NSN,No,Sì,OK
WMS0005651-FLM,000000000301805367,Gruppo articoli,WMS-VodafoneFLM,SPRG_AMOD+ASIB+ABIA+HWA_Pole_FOSC & FTCH,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005652-FLM,000000000301805370,Gruppo articoli,WMS-VodafoneFLM,1AMIA+1ASIB+1ABIA+1ASSMHWA_FOSC & FTCH,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005653-FLM,000000000301805375,Gruppo articoli,WMS-VodafoneFLM,SPRG_Pack noATOA-FPIA_ATDN_20m-9xAOSM,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005654-FLM,000000000301805376,Gruppo articoli,WMS-VodafoneFLM,SPRG_Pack noATOA-FPIA_ATDQ_100m-12xAOSC,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005655-FLM,000000000301805377,Gruppo articoli,WMS-VodafoneFLM,Add DSS_5G_1xABIO_3xAOME,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005656-FLM,000000000301805379,Gruppo articoli,WMS-VodafoneFLM,SPRG_Pack noATOA-FPIA_ATDO_40m-12xAOSC,,,Kit Bundle,RADIO,NSN,No,Sì,OK
WMS0005657-FLM,000000000301805390,Gruppo articoli,WMS-VodafoneFLM,"SP.-FLMBMHAEU800,12dB,AISG,Rx:832-862MHz",472979A.101,FLMB,Unit,RADIO,NSN,No,Sì,OK
WMS0005658-FLM,000000000301805400,Gruppo articoli,WMS-VodafoneFLM,"SP.MDDBMHA1800,12dB,AISG,Rx:1710-1785MHz",472980A.101,MDDB,Unit,RADIO,NSN,No,Sì,OK
WMS0005659-FLM,000000000301805413,Gruppo articoli,WMS-VodafoneFLM,SPARE-FBBA,472182A_LTE,FBBA-LTE,Unit,RADIO,NSN,No,Sì,OK
WMS0005660-FLM,000000000301805420,Gruppo articoli,WMS-VodafoneFLM,SPARE-FSMF,472181A_LTE,FSMF-LTE,Unit,RADIO,NSN,No,Sì,OK
WMS0005661-FLM,000000000301805422,Gruppo articoli,WMS-VodafoneFLM,SPARE-FOSI Optical SFP I 1310nm 6G15kmSM,472580A.101,FOSI,Modulo SFP-XPF,RADIO,NSN,No,Sì,OK
WMS0005662-FLM,000000000301805505,Gruppo articoli,WMS-VodafoneFLM,86010165 FlexRET 8-fold,86010165,86010165,Unit,RADIO,KATHREIN,No,Sì,OK
WMS0005663-FLM,000000000301805617,Gruppo articoli,WMS-VodafoneFLM,AMIA AirScale Subrack,473098A.101,AMIA,Unit,RADIO,NSN,No,Sì,OK
WMS0005664-FLM,000000000301808161,Gruppo articoli,WMS-VodafoneFLM,S-2-UW-L-NI53,S-2-UW-L-NI53,S-2-UW-L-NI53,Unit,RADIO,COMMSCOPE,No,Sì,OK
WMS0005665-FLM,000000000301808643,Gruppo articoli,WMS-VodafoneFLM,80112754 XX-Pol 4-port 8/9dBi 75Â°/65Â°,80112754,80112754,Antenna,RADIO,KATHREIN,No,Sì,OK
WMS0005666-FLM,000000000301809431,Gruppo articoli,WMS-VodafoneFLM,ESM-48100B1,01074848,ESM-48100B1,Batterie,PASSIVE,HUAWEI,No,Sì,OK
WMS0005667-FLM,000000000301809492,Gruppo articoli,WMS-VodafoneFLM,VFIT_5GConfig_3AAU5639w64T(G2),,3AAU5639w64T,Kit Bundle,RADIO,HUAWEI,No,Sì,OK
WMS0005668-FLM,000000000301809505,Gruppo articoli,WMS-VodafoneFLM,"RRU5935E(1800M+2100M,without Antenna)",02312YUQ,,Unit,RADIO,HUAWEI,No,Sì,OK
WMS0005669-FLM,000000000301809508,Gruppo articoli,WMS-VodafoneFLM,AAU5831 for 3700HMz,02312RRL,AAU5831,Antenna,RADIO,HUAWEI,No,Sì,OK
WMS0005670-FLM,000000000301809509,Gruppo articoli,WMS-VodafoneFLM,VFIT_5GConfig_3AAU5339w32T(G2),,3AAU5339w32T,Kit Bundle,RADIO,HUAWEI,No,Sì,OK
WMS0005671-FLM,000000000301809523,Gruppo articoli,WMS-VodafoneFLM,VFIT_5GConfig_3AAU5831(G2),02312RRK,,Kit Bundle,RADIO,HUAWEI,No,Sì,OK
WMS0005672-FLM,000000000301809806,Gruppo articoli,WMS-VodafoneFLM,PTN-M10*GE/FEPIC,03033FXE-001,03033FXE-001,Unit,TX,HUAWEI,No,Sì,OK
WMS0005673-FLM,000000000301809810,Gruppo articoli,WMS-VodafoneFLM,PTN690024*10GEsub-card(P483-CM),03034CQW-001,03034CQW-001,Unit,TX,HUAWEI,No,Sì,OK
